	rmsd	rmsd SD	pearson.coeff	pearson.coeff SD	auc	auc SD	aupr	aupr SD	prec	prec SD	rec	rec SD	acc	acc SD	f1	f1 SD	threshold
AIBI	0.174	0.00233008156896101	0.189	0.00831148556151209	0.645	0.0371302002457168	0.218	0.0493450474491694	0.903	0.00865204108991065	0.412	0.0283050829274877	0.903	0.00865204108991065	0.311	0.0190227397948595	98
Disease Index Matrix	0.273	0.00596377711301698	0.168	0.0280130816836517	0.714	0.0331109651058531	0.141	0.0394425674410152	0.881	0.0731702367851514	0.412	0.149678216313644	0.881	0.0731702367851514	0.269	0.0440695284413585	77
EA	0.204	0.0107181250958625	0.348	0.0297736587042181	0.912	0.0285318105337049	0.285	0.0672353927913296	0.941	0.0435969838284702	0.471	0.148181348755374	0.941	0.0435969838284702	0.457	0.0559835689565189	91
LEAP 1	0.0223	0.00212245067004741	0.778	0.0183944690067152	0.988	0.0186977098647246	0.82	0.0730161836568961	0.981	0.00390760372180761	0.824	0.0597064564783786	0.981	0.00390760372180761	0.824	0.0290092147981347	77
LEAP 2	0.032	0.00198142937248235	0.684	0.0161733441175903	0.966	0.0245583004974353	0.706	0.0666445128938601	0.975	0.00538568273739317	0.765	0.0587699860118716	0.975	0.00538568273739317	0.765	0.0320883255129248	74
LEAP 3	0.0227	0.00165288737525202	0.742	0.0161082644744379	0.979	0.0218404973554283	0.69	0.0641667973817349	0.978	0.00350264274664447	0.882	0.0478556367315983	0.978	0.00350264274664447	0.811	0.0254444861708318	53
LEAP 4	0.0212	0.000829465146430466	0.757	0.00897629907837938	0.989	0.00172559137879182	0.84	0.0309498417181775	0.981	0.00390122261782014	0.882	0.0510267107295854	0.981	0.00390122261782014	0.833	0.0287194372221573	51
MutPred2	0.0765	0	0.416	0	0.859	0	0.474	0	0.956	0	0.588	0	0.956	0	0.588	0	67
Normalized EA	0.167	0.00961451836580183	0.377	0.0305685832013506	0.918	0.0274803003877494	0.321	0.0730735630191332	0.931	0.0389040567108734	0.647	0.147893380537334	0.931	0.0389040567108734	0.5	0.0576672136479039	83
PolyPhen-2	0.276	0	0.063	0	0.587	0	0.237	0	0.955	0	0.312	0	0.955	0	0.417	0	100
REVEL	0.176	0	0.349	0	0.899	0	0.311	0	0.929	0	0.812	0	0.929	0	0.542	0	74
SIFT	0.0859	0	0.391	0	0.829	0	0.31	0	0.936	0	0.812	0	0.936	0	0.565	0	66
SNPs and GO	0.575	0.00861023236388752	0.00913	0.0218033709105468	0.5	0.0338813039276174	0.0556	0.0202292284639708	0.157	0.278602872398237	1	0.302977929541772	0.157	0.278602872398237	0.112	0.0156519430334407	31
TBI 1	0.14	0.0375330736907073	0.32	0.0892573588914343	0.852	0.0854005171681253	0.216	0.0726906037753114	0.919	0.0435582326446231	0.471	0.115859871826918	0.919	0.0435582326446231	0.381	0.0677001473894677	69
TBI 2	0.0411	0.022837999306849	0.59	0.120858857244394	0.945	0.0897110223209087	0.565	0.109032033822175	0.925	0.0242905402785673	0.882	0.129398323344812	0.925	0.0242905402785673	0.556	0.080701496821056	44
TBI 3	0.136	0.0354853584039404	0.258	0.0822180583516565	0.813	0.0812941115721036	0.154	0.0579823180405935	0.903	0.0669578742504003	0.412	0.127584834085007	0.903	0.0669578742504003	0.311	0.0637054843073552	65
TBI 4	0.0423	0.0190534351692884	0.499	0.121399852883005	0.886	0.0829857878033205	0.515	0.099278276186313	0.959	0.0220270506125052	0.412	0.10279063403737	0.959	0.0220270506125052	0.519	0.0781747347760498	66
