	rmsd	rmsd SD	pearson.coeff	pearson.coeff SD	auc	auc SD	aupr	aupr SD	prec	prec SD	rec	rec SD	acc	acc SD	f1	f1 SD	threshold
EA_P	0.204	0.0105683672716593	0.348	0.0296059874106414	0.912	0.0281754561558985	0.285	0.0660629602117162	0.444	0.068825553275425	0.471	0.147529419845948	0.941	0.0431015894307988	0.457	0.0555628367928893	0.909
Normalized_EA_P	0.167	0.00968160191195435	0.377	0.0301615710205328	0.918	0.0273393091131118	0.321	0.0715658238819675	0.407	0.0876384664278751	0.647	0.149448497895905	0.931	0.0387276037803717	0.5	0.0576637537352494	0.828
MutPred2_P	0.0765	0	0.416	0	0.859	0	0.474	0	0.588	0	0.588	0	0.956	0	0.588	0	0.667
TBI_1_P	0.14	0.0375864479249737	0.32	0.088268402476001	0.852	0.0843105756103941	0.216	0.0720042437974901	0.32	0.0611130116306066	0.471	0.11499147041123	0.919	0.0437984672353179	0.381	0.0673076862780412	0.687
TBI_2_P	0.0411	0.0232408324645432	0.59	0.121428597512787	0.945	0.0902669049245207	0.565	0.109455845451443	0.405	0.15211318844663	0.882	0.129171407565464	0.925	0.0240057952724059	0.556	0.0812297178144527	0.434
TBI_3_P	0.136	0.0357389318302161	0.258	0.0829268915556747	0.813	0.0815305330470855	0.154	0.0579678979394005	0.25	0.0613652858318775	0.412	0.128865388999678	0.903	0.0679718189841025	0.311	0.0646592486938301	0.646
TBI_4_P	0.0423	0.0190032183587623	0.499	0.121465515396018	0.886	0.0833443634401975	0.515	0.0991399580171989	0.7	0.146442414895166	0.412	0.103625455224752	0.959	0.0219271331403988	0.519	0.0784453433508283	0.657
SNPs_and_GO_P	0.575	0.00850781705757174	0.00913	0.022222966729766	0.5	0.0345545978094519	0.0556	0.0198689881820272	0.0594	0.0147820261479035	1	0.302671867081535	0.157	0.278710180524859	0.112	0.015865212979607	0.303
Disease_Index_Matrix_P	0.273	0.00587465899877048	0.168	0.0275751562070931	0.714	0.0327622412474354	0.141	0.0392378294507469	0.2	0.0977438676832161	0.412	0.149136056714469	0.881	0.0729088342642466	0.269	0.0437274447273362	0.768
AIBI_P	0.174	0.00232669666087678	0.189	0.00837767853225218	0.645	0.0365070140774028	0.218	0.0505523539950361	0.25	0.0395984745240074	0.412	0.0289565736805295	0.903	0.00856338088311007	0.311	0.0191031504887508	0.98
LEAP_1_P	0.0223	0.00207461807270995	0.778	0.0179050303691798	0.988	0.0184727324436422	0.82	0.0729144047178027	0.824	0.0608779449620984	0.824	0.0602736503231912	0.981	0.00389256735947688	0.824	0.028701424145237	0.768
LEAP_2_P	0.032	0.00200727827941447	0.684	0.0162537188771596	0.966	0.0245538594066427	0.706	0.0664493769271722	0.765	0.0613844235122803	0.765	0.0587284603234683	0.975	0.00542916382990873	0.765	0.032316073481327	0.737
LEAP_3_P	0.0227	0.00164410391319032	0.742	0.0160397690575377	0.979	0.0216207297172262	0.69	0.0643258867359047	0.75	0.0449677746149994	0.882	0.0479428738387176	0.978	0.00348819079000831	0.811	0.0254360220693384	0.525
LEAP_4_P	0.0212	0.000834435670791265	0.757	0.00901073602134502	0.989	0.00172446836129658	0.84	0.0307798540883769	0.789	0.0536959189187675	0.882	0.0513144263082492	0.981	0.00395687502911068	0.833	0.0289514997657093	0.505
PolyPhen.2_P	0.276	0	0.063	0	0.587	0	0.237	0	0.625	0	0.312	0	0.955	0	0.417	0	1
REVEL_P	0.176	0	0.349	0	0.899	0	0.311	0	0.406	0	0.812	0	0.929	0	0.542	0	0.737
SIFT_P	0.0859	0	0.391	0	0.829	0	0.31	0	0.433	0	0.812	0	0.936	0	0.565	0	0.657
