	rmsd Mean	pearson.coeff Mean	kendall.coeff Mean	auc Mean	auc.noVus Mean	sens.noVus Mean	spec.noVus Mean	acc.noVus Mean	f1.noVus Mean	rmsd SD	pearson.coeff SD	kendall.coeff SD	auc SD	auc.noVus SD	sens.noVus SD	spec.noVus SD	acc.noVus SD	f1.noVus SD
Group_1_Set_1_P	0.2086	0.2802	0.1918	0.7588	0.8572	0.5766	0.9106	0.8926	0.3564	0.0118448300958688	0.0285166617962201	0.0221743094593721	0.0260710567488163	0.0345644325861138	0.24771011283353	0.0540814200996978	0.0405746226106911	0.0679175971306406
Group_1_Set_2_P	0.237	0.2852	0.1974	0.762	0.8698	0.6002	0.906	0.8898	0.362	0.0128257553383807	0.0240353905730695	0.0151756383720752	0.0432434966208793	0.0298194567354941	0.192505064868434	0.0372759976392316	0.0264518430359777	0.0477336359394505
Group_2_Set_1_P	0.0788	0.395	0.208	0.716	0.857	0.588	0.974	0.953	0.571	0	0	0	0	0	0	0	0	0
Group_3_Set_1_P	0.3214	0.1087	0.07602	0.5948	0.6388	0.4236	0.88	0.8556	0.2438	0.0190997382181013	0.078610050248044	0.0382750832788121	0.051982689426385	0.0718797607119	0.10515131953523	0.0557359847854149	0.0488548871659735	0.0403571554993659
Group_3_Set_2_P	0.1472	0.22572	0.09662	0.6174	0.6556	0.5294	0.9504	0.928	0.4494	0.0312201857777945	0.146158106172733	0.0552345181928837	0.0648020061417855	0.0985510020243326	0.0928132533639458	0.0335678417536785	0.0285919569109916	0.0710936002745676
Group_3_Set_3_P	0.319	0.07128	0.05226	0.6242	0.6196	0.3646	0.898	0.8696	0.2318	0.062317734233523	0.0358396010022433	0.0283342195939821	0.0676956424003791	0.0524242310387095	0.0965209821748619	0.0514149783623411	0.0436382859425069	0.011861703081767
Group_3_Set_4_P	0.10276	0.25022	0.11908	0.6436	0.705	0.4824	0.9524	0.9272	0.4164	0.0205004390196893	0.131496547483194	0.0709321295323917	0.0758208414619621	0.101518471225684	0.192489739986317	0.0418783953847327	0.0310837578165832	0.085025290355282
Group_4_Set_1_P	0.2788	0.1334	0.11286	0.6386	0.6572	0.3998	0.8782	0.8526	0.2272	0.0054037024344425	0.0340631765987848	0.0312993290662915	0.0549799963623135	0.0465263366277638	0.183321302635564	0.0856778851279605	0.0720541463067879	0.0270129598526337
Group_4_Set_2_P	0.5792	0.005102	-0.004302	0.5426	0.5026	0.6118	0.522	0.5266	0.126	0.00576194411635518	0.0290855568968517	0.0278569474278859	0.0322459299757349	0.0360596727661248	0.206108466589803	0.238448107562212	0.215143672925792	0.0158587515271537
Group_5_Set_1_P	0.1774	0.1852	0.1354	0.6546	0.6912	0.412	0.9296	0.9024	0.31	0.00279284800875379	0.00580517010948	0.0192691463225541	0.0148929513529052	0.0232637056377525	0	0.00482700735445887	0.0044497190922574	0.0104642247682282
Group_6_Set_1_P	0.02446	0.7244	0.2912	0.8232	0.9714	0.8352	0.986	0.978	0.8026	0.00107377837564369	0.0099649385346825	0.0135166563912826	0.017796066981218	0.0226781833487605	0.0764669863405117	0.00734846922834954	0.00474341649025257	0.0357673035047374
Group_6_Set_2_P	0.02888	0.7268	0.2528	0.8136	0.961	0.8236	0.986	0.9774	0.7946	0.00150233152133609	0.0164833249073116	0.0191885382455256	0.0215244047536743	0.0252289516230857	0.0928132533639458	0.0062449979983984	0.00134164078649988	0.0140996453856117
Group_6_Set_3_P	0.02528	0.723	0.2722	0.833	0.9738	0.8704	0.98	0.9744	0.783	0.00103295692068934	0.00812403840463597	0.0144637477854116	0.0206518764280634	0.0222755471313276	0.0259383885389976	0.00212132034355964	0.003286335345031	0.0274226184016042
Group_6_Set_4_P	0.03264	0.6738	0.2508	0.8688	0.9812	0.8626	0.9728	0.9674	0.7318	0.0018514858897653	0.0158335087709579	0.00554075807087803	0.0101833196944808	0.00294957624075053	0.0817973104692324	0.00954986910905067	0.00779743547584718	0.049776500479644
VEP_Set_polyphen_P	0.155	0.392	0.239	0.784	0.926	0.625	0.99	0.971	0.69	0	0	0	0	0	0	0	0	0
VEP_Set_revel_P	0.293	0.0785	0.0871	0.681	0.582	0.312	0.966	0.933	0.323	0	0	0	0	0	0	0	0	0
VEP_Set_sift_P	0.0603	-0.00461	-0.0401	0.652	0.254	1	0	0.0133	0.0262	0	0	0	0	0	0	0	0	0
